ext_id,hero_name,set,mechanic,status,wp,decision,handler,designs
2099/doctor-doom-2099,Doctor Doom 2099,2099,cyber-mod,unsupported,,,,doomblast|tear-through-time-itself
2099/doctor-doom-2099,Doctor Doom 2099,2099,fated-future,unsupported,,,,tear-through-time-itself
2099/doctor-doom-2099,Doctor Doom 2099,2099,undercover,executable,WP-282,D-24060,packages/game-engine/src/hero/heroEffects.execute.ts#undercover,flesh-grafted-doombots|subvert-this-new-future|tear-through-time-itself
2099/ghost-rider-2099,Ghost Rider 2099,2099,cyber-mod,unsupported,,,,cyber-specter|hell-ride|infernal-chainsaw
2099/ghost-rider-2099,Ghost Rider 2099,2099,fated-future,unsupported,,,,infernal-chainsaw
2099/ghost-rider-2099,Ghost Rider 2099,2099,undercover,executable,WP-282,D-24060,packages/game-engine/src/hero/heroEffects.execute.ts#undercover,hell-ride|infernal-chainsaw
2099/hulk-2099,Hulk 2099,2099,cyber-mod,unsupported,,,,cataclysmic-frenzy|rage-incarnate
2099/hulk-2099,Hulk 2099,2099,fated-future,unsupported,,,,massive-gamma-detonation
2099/hulk-2099,Hulk 2099,2099,undercover,executable,WP-282,D-24060,packages/game-engine/src/hero/heroEffects.execute.ts#undercover,cataclysmic-frenzy|push-pain-under-the-surface
2099/ravage-2099,Ravage 2099,2099,fated-future,unsupported,,,,detect-vibrations|toxic-mutations
2099/ravage-2099,Ravage 2099,2099,reveal-attack-choose,executable,WP-253,D-24024,packages/game-engine/src/hero/heroEffects.execute.ts#reveal-attack-choose,overhorns-and-underhorns
2099/spider-man-2099,Spider-Man 2099,2099,cyber-mod,unsupported,,,,retractable-talons|venomous-fangs
2099/spider-man-2099,Spider-Man 2099,2099,fated-future,unsupported,,,,spider-silk-webbing
2099/spider-man-2099,Spider-Man 2099,2099,undercover,executable,WP-282,D-24060,packages/game-engine/src/hero/heroEffects.execute.ts#undercover,retractable-talons|spider-sense-telepathy
3dtc/black-widow,Black Widow,3dtc,defeat-with-bystander,executable,WP-486,D-24291,packages/game-engine/src/hero/heroEffects.execute.ts#defeat-with-bystander,silent-sniper
3dtc/black-widow,Black Widow,3dtc,draw,executable,WP-022,D-2201,packages/game-engine/src/hero/heroEffects.execute.ts#draw,mission-accomplished
3dtc/black-widow,Black Widow,3dtc,rescue,executable,WP-215,D-21501,packages/game-engine/src/hero/heroEffects.execute.ts#rescue,mission-accomplished
3dtc/deadpool,Deadpool,3dtc,(unmarked),unmarked,,,,
3dtc/howard-the-duck,Howard the Duck,3dtc,(unmarked),unmarked,,,,
3dtc/hulk,Hulk,3dtc,gain-wound-each,executable,WP-364,D-24156,packages/game-engine/src/hero/heroEffects.execute.ts#gain-wound-each,crazed-rampage
3dtc/hulk,Hulk,3dtc,ko-wound-reward,executable,WP-382,D-24183,packages/game-engine/src/hero/heroEffects.execute.ts#ko-wound-reward,unstoppable-hulk
3dtc/man-thing,Man-Thing,3dtc,(unmarked),unmarked,,,,
amwp/ant-army,Ant Army,amwp,antics,unsupported,,,,antagonize|anticipate|antiproton-experiments|revolutionary-anthem
amwp/ant-army,Ant Army,amwp,heist,unsupported,,,,revolutionary-anthem|up-the-ante
amwp/ant-army,Ant Army,amwp,microscopic-size-changing,unsupported,,,,anti-tank-weapons|antiproton-experiments|revolutionary-anthem
amwp/ant-army,Ant Army,amwp,size-changing,executable,WP-290,D-24074,packages/game-engine/src/hero/heroEffects.execute.ts#size-changing,antagonize|anticipate
amwp/ant-man,Ant-Man,amwp,antics,unsupported,,,,bug-swarm|hitch-a-ride
amwp/ant-man,Ant-Man,amwp,heist,unsupported,,,,tiny-little-risk
amwp/ant-man,Ant-Man,amwp,microscopic-size-changing,unsupported,,,,bug-swarm|giant-man|tiny-little-risk
amwp/ant-man,Ant-Man,amwp,size-changing,executable,WP-290,D-24074,packages/game-engine/src/hero/heroEffects.execute.ts#size-changing,hitch-a-ride|look-out-for-the-little-guy|shrink-away
amwp/cassie-lang,Cassie Lang,amwp,microscopic-size-changing,unsupported,,,,inspire-revolution|learn-from-the-past|quantum-beacon
amwp/cassie-lang,Cassie Lang,amwp,size-changing,executable,WP-290,D-24074,packages/game-engine/src/hero/heroEffects.execute.ts#size-changing,colossal-stomp|giant-hug|start-small
amwp/freedom-fighters,Freedom Fighters,amwp,draw,executable,WP-022,D-2201,packages/game-engine/src/hero/heroEffects.execute.ts#draw,steel-warrior
amwp/janet-van-dyne,Janet van Dyne,amwp,draw,executable,WP-022,D-2201,packages/game-engine/src/hero/heroEffects.execute.ts#draw,subatomic-size
amwp/jentorra,Jentorra,amwp,conqueror,unsupported,,,,conquer-the-conqueror|take-the-high-ground|unite-the-oppressed
amwp/jentorra,Jentorra,amwp,explore,unsupported,,,,find-your-courage|lead-powerful-allies
amwp/scott-lang-cat-burglar,"Scott Lang, Cat Burglar",amwp,(unmarked),unmarked,,,,
amwp/wasp,Wasp,amwp,(unmarked),unmarked,,,,
anni/brainstorm,Brainstorm,anni,out-of-time,unsupported,,,,borrow-from-the-future|time-loop-experiments
anni/fantastic-four-united,Fantastic Four United,anni,draw,executable,WP-022,D-2201,packages/game-engine/src/hero/heroEffects.execute.ts#draw,mr-fantastic
anni/fantastic-four-united,Fantastic Four United,anni,focus,unsupported,,,,human-torch|invisible-woman|mr-fantastic|thing
anni/heralds-of-galactus,Heralds of Galactus,anni,conqueror,unsupported,,,,firelord|stardust
anni/heralds-of-galactus,Heralds of Galactus,anni,focus,unsupported,,,,silver-surfer|stardust
anni/psi-lord,Psi-Lord,anni,focus,unsupported,,,,avert-future-tragedy|interdimensional-rescue|reshape-reality|slip-the-timestream
anni/psi-lord,Psi-Lord,anni,out-of-time,unsupported,,,,avert-future-tragedy|interdimensional-rescue|reshape-reality|slip-the-timestream
anni/super-skrull,Super-Skrull,anni,bridge,unsupported,,,,put-to-the-torch
anni/super-skrull,Super-Skrull,anni,conqueror,unsupported,,,,put-to-the-torch|rock-solid|transparent-motives
anni/super-skrull,Super-Skrull,anni,focus,unsupported,,,,rock-solid|stretching-credibility|transparent-motives
anni/super-skrull,Super-Skrull,anni,rooftops,unsupported,,,,put-to-the-torch
anni/super-skrull,Super-Skrull,anni,streets,unsupported,,,,put-to-the-torch
antm/ant-man,Ant-Man,antm,draw,executable,WP-022,D-2201,packages/game-engine/src/hero/heroEffects.execute.ts#draw,ride-the-ants
antm/ant-man,Ant-Man,antm,microscopic-size-changing,unsupported,,,,pym-particles|risky-science
antm/ant-man,Ant-Man,antm,size-changing,executable,WP-290,D-24074,packages/game-engine/src/hero/heroEffects.execute.ts#size-changing,giant-ego|pym-particles|ride-the-ants
antm/black-knight,Black Knight,antm,empowered,executable,WP-267,D-24044,packages/game-engine/src/hero/effectPrimitive.interpret.ts,amulet-of-avalon
antm/black-knight,Black Knight,antm,return-zero-cost-discard,executable,,D-24139,packages/game-engine/src/hero/heroEffects.execute.ts#return-zero-cost-discard,defend-the-weak
antm/black-knight,Black Knight,antm,victory-villain-attack,executable,WP-285,D-24099,packages/game-engine/src/hero/heroEffects.execute.ts#victory-villain-attack,the-ebony-blade
antm/jocasta,Jocasta,antm,draw,executable,WP-022,D-2201,packages/game-engine/src/hero/heroEffects.execute.ts#draw,holographic-image-inducer
antm/jocasta,Jocasta,antm,empowered,executable,WP-267,D-24044,packages/game-engine/src/hero/effectPrimitive.interpret.ts,creation-of-ultron
antm/jocasta,Jocasta,antm,shuffle-discard-empty-reward,executable,WP-356,D-24148,packages/game-engine/src/hero/heroEffects.execute.ts#shuffle-discard-empty-reward,electromagnetic-eyebeams|reprocess
antm/jocasta,Jocasta,antm,size-changing,executable,WP-290,D-24074,packages/game-engine/src/hero/heroEffects.execute.ts#size-changing,holographic-image-inducer
antm/wasp,Wasp,antm,draw,executable,WP-022,D-2201,packages/game-engine/src/hero/heroEffects.execute.ts#draw,tiny-winged-justice
antm/wasp,Wasp,antm,microscopic-size-changing,unsupported,,,,bio-electric-sting|founding-avenger
antm/wasp,Wasp,antm,size-changing,executable,WP-290,D-24074,packages/game-engine/src/hero/heroEffects.execute.ts#size-changing,swarm-tactics|tiny-winged-justice
antm/wonder-man,Wonder Man,antm,empowered,executable,WP-267,D-24044,packages/game-engine/src/hero/effectPrimitive.interpret.ts,8th-wonder-of-the-world|ionic-energy|one-hit-wonder
antm/wonder-man,Wonder Man,antm,optional-put-bottom-hq,executable,,D-24130,packages/game-engine/src/hero/heroEffects.execute.ts#optional-put-bottom-hq,ionic-energy
antm/wonder-man,Wonder Man,antm,put-any-number-bottom-hq,executable,,D-24132,packages/game-engine/src/hero/heroEffects.execute.ts#put-any-number-bottom-hq,8th-wonder-of-the-world
antm/wonder-man,Wonder Man,antm,put-bottom-hq-icon-reward,executable,,D-24133,packages/game-engine/src/hero/heroEffects.execute.ts#put-bottom-hq-icon-reward,absorb-ambient-power
antm/wonder-man,Wonder Man,antm,size-changing,executable,WP-290,D-24074,packages/game-engine/src/hero/heroEffects.execute.ts#size-changing,8th-wonder-of-the-world
asrd/beta-ray-bill,Beta Ray Bill,asrd,thrown-artifact,unsupported,,,,stormbreaker
asrd/beta-ray-bill,Beta Ray Bill,asrd,worthy,unsupported,,,,hope-of-the-korbinites|stormbreaker
asrd/lady-sif,Lady Sif,asrd,thrown-artifact,unsupported,,,,dimensional-blade|golden-apples-of-idunn|winged-helm
asrd/thor,Thor,asrd,thrown-artifact,unsupported,,,,mjolnir
asrd/thor,Thor,asrd,worthy,unsupported,,,,divine-lightning|mjolnir|royal-decree|test-of-virtue
asrd/valkyrie,Valkyrie,asrd,bridge,unsupported,,,,usher-to-valhalla
asrd/valkyrie,Valkyrie,asrd,conqueror,unsupported,,,,dragonfang|flying-stallion|ride-of-the-valkyries|usher-to-valhalla
asrd/valkyrie,Valkyrie,asrd,streets,unsupported,,,,flying-stallion|ride-of-the-valkyries
asrd/valkyrie,Valkyrie,asrd,thrown-artifact,unsupported,,,,dragonfang
asrd/warriors-three-the,"Warriors Three, The",asrd,bridge,unsupported,,,,volstagg-the-valiant
asrd/warriors-three-the,"Warriors Three, The",asrd,conqueror,unsupported,,,,three-stand-as-one|volstagg-the-valiant
asrd/warriors-three-the,"Warriors Three, The",asrd,draw,executable,WP-022,D-2201,packages/game-engine/src/hero/heroEffects.execute.ts#draw,fandral-the-dashing
bkpt/general-okoye,General Okoye,bkpt,ambush,unsupported,,,,to-my-last-breath
bkpt/general-okoye,General Okoye,bkpt,wound-a-villain,unsupported,,,,sovereign-bodyguard
bkpt/king-black-panther,King Black Panther,bkpt,ambush,unsupported,,,,heart-shaped-herb|unite-the-tribes-of-wakanda|unseen-protector|vibranium-claws
bkpt/king-black-panther,King Black Panther,bkpt,thrones-favor,unsupported,,,,heart-shaped-herb|unite-the-tribes-of-wakanda|unseen-protector|vibranium-claws
bkpt/princess-shuri,Princess Shuri,bkpt,ambush,unsupported,,,,become-the-next-black-panther|vibranium-experiments
bkpt/princess-shuri,Princess Shuri,bkpt,draw,executable,WP-022,D-2201,packages/game-engine/src/hero/heroEffects.execute.ts#draw,vibranium-experiments
bkpt/princess-shuri,Princess Shuri,bkpt,empowered,executable,WP-267,D-24044,packages/game-engine/src/hero/effectPrimitive.interpret.ts,kimoyo-beads|shock-net|vibranium-experiments
bkpt/queen-storm-of-wakanda,Queen Storm of Wakanda,bkpt,ambush,unsupported,,,,torrential-downpour
bkpt/queen-storm-of-wakanda,Queen Storm of Wakanda,bkpt,empowered,executable,WP-267,D-24044,packages/game-engine/src/hero/effectPrimitive.interpret.ts,hurricane-winds|thunderous-tempest|torrential-downpour
bkpt/queen-storm-of-wakanda,Queen Storm of Wakanda,bkpt,thrones-favor,unsupported,,,,forked-lightning|thunderous-tempest
bkpt/queen-storm-of-wakanda,Queen Storm of Wakanda,bkpt,wound-the-mastermind,unsupported,,,,forked-lightning
bkpt/white-wolf,White Wolf,bkpt,ambush,unsupported,,,,cloaking-tech-ambush|command-the-hatut-zeraze|reflective-vibranium-armor|secret-assignment
bkpt/white-wolf,White Wolf,bkpt,villain-or-mastermind-has-any-wounds,unsupported,,,,command-the-hatut-zeraze|secret-assignment
bkpt/white-wolf,White Wolf,bkpt,wound-a-villain,unsupported,,,,cloaking-tech-ambush
bkpt/white-wolf,White Wolf,bkpt,wound-each-villain-and-the-mastermind,unsupported,,,,reflective-vibranium-armor
bkpt/white-wolf,White Wolf,bkpt,wound-the-mastermind,unsupported,,,,reflective-vibranium-armor|secret-assignment
bkwd/black-widow,Black Widow,bkwd,dark-memories,unsupported,,,,widows-bite
bkwd/black-widow,Black Widow,bkwd,dodge,executable,WP-275,D-24051,packages/game-engine/src/moves/dodgeCard.ts,evasive-acrobatics|weave-a-web-of-spies|widows-bite
bkwd/black-widow,Black Widow,bkwd,undercover,executable,WP-282,D-24060,packages/game-engine/src/hero/heroEffects.execute.ts#undercover,infiltrate-the-conspiracy|weave-a-web-of-spies
bkwd/falcon-winter-soldier,Falcon & Winter Soldier,bkwd,dark-memories,unsupported,,,,atone|captain-americas-legacy
bkwd/falcon-winter-soldier,Falcon & Winter Soldier,bkwd,dodge,executable,WP-275,D-24051,packages/game-engine/src/moves/dodgeCard.ts,relocate
bkwd/falcon-winter-soldier,Falcon & Winter Soldier,bkwd,draw,executable,WP-022,D-2201,packages/game-engine/src/hero/heroEffects.execute.ts#draw,new-plan|reload
bkwd/red-guardian,Red Guardian,bkwd,draw,executable,WP-022,D-2201,packages/game-engine/src/hero/heroEffects.execute.ts#draw,sleeper-agent
