ext_id,card_name,set,card_type,mechanic,status,wp,decision,handler
2099-villain-alchemax-enforcers-cyber-nostra,Cyber-Nostra,2099,villain,heroDeckTopToEscape,executable,WP-185,,packages/game-engine/src/villain/villainEffects.execute.ts#hero-deck-top-to-escape
2099-villain-false-aesir-of-alchemax-heimdall-2099,Heimdall 2099,2099,villain,captureBystander,executable,WP-185,D-18506,packages/game-engine/src/villain/villainEffects.execute.ts#capture-bystander
2099-villain-false-aesir-of-alchemax-hela-2099,Hela 2099,2099,villain,(unmarked),unmarked,,,
2099-villain-alchemax-enforcers-jigsaw-2099,Jigsaw 2099,2099,villain,heroDeckTopToEscape,executable,WP-185,,packages/game-engine/src/villain/villainEffects.execute.ts#hero-deck-top-to-escape
2099-villain-false-aesir-of-alchemax-loki-2099,Loki 2099,2099,villain,(unmarked),unmarked,,,
2099-villain-false-aesir-of-alchemax-thor-2099,Thor 2099,2099,villain,(unmarked),unmarked,,,
2099-villain-alchemax-enforcers-venture,Venture,2099,villain,(unmarked),unmarked,,,
2099-villain-alchemax-enforcers-whackoid,Whackoid,2099,villain,(unmarked),unmarked,,,
henchman-circus-of-crime,Circus of Crime,3dtc,henchman,(unmarked),unmarked,,,
henchman-spider-slayer,Spider-Slayer,3dtc,henchman,(unmarked),unmarked,,,
amwp-villain-ghost-chasers-anitolov,Anitolov,amwp,villain,(unmarked),unmarked,,,
amwp-villain-quantum-realm-axiam-maitre-d,Axiam Maitre D',amwp,villain,(unmarked),unmarked,,,
amwp-villain-quantum-realm-axian-bartender,Axian Bartender,amwp,villain,(unmarked),unmarked,,,
amwp-villain-armada-of-kang-build-a-conquering-army,Build a Conquering Army,amwp,villain,(unmarked),unmarked,,,
amwp-villain-armada-of-kang-city-defense-system,City Defense System,amwp,villain,(unmarked),unmarked,,,
amwp-villain-ghost-chasers-corrupted-government-agents,Corrupted Government Agents,amwp,villain,(unmarked),unmarked,,,
amwp-villain-cross-technologies-cross-security-detail,Cross' Security Detail,amwp,villain,koHeroCurrentPlayer,executable,WP-185,,packages/game-engine/src/villain/villainEffects.execute.ts#ko-hero
amwp-villain-ghost-chasers-dr-bill-foster,Dr. Bill Foster,amwp,villain,(unmarked),unmarked,,,
amwp-villain-armada-of-kang-energy-shield,Energy Shield,amwp,villain,(unmarked),unmarked,,,
amwp-villain-ghost-chasers-goliath,Goliath,amwp,villain,(unmarked),unmarked,,,
amwp-villain-ghost-chasers-high-speed-car-chase,High-Speed Car Chase,amwp,villain,(unmarked),unmarked,,,
amwp-villain-quantum-realm-hungering-energy,Hungering Energy,amwp,villain,koHeroCurrentPlayer,executable,WP-185,,packages/game-engine/src/villain/villainEffects.execute.ts#ko-hero
amwp-villain-cross-technologies-hydra-arms-dealer,Hydra Arms Dealer,amwp,villain,(unmarked),unmarked,,,
amwp-villain-quantum-realm-lord-krylars-appetizer,Lord Krylar's Appetizer,amwp,villain,(unmarked),unmarked,,,
